product_id,name,category,unit_price
1000,Timeless Sardines 1916,Timeless Sardines,9.0
1001,Timeless Sardines 1917,Timeless Sardines,9.0
1002,Timeless Sardines 1918,Timeless Sardines,9.0
1003,Timeless Sardines 1919,Timeless Sardines,9.0
1004,Timeless Sardines 1920,Timeless Sardines,9.0
1005,Timeless Sardines 1921,Timeless Sardines,9.0
1006,Timeless Sardines 1922,Timeless Sardines,9.0
1007,Timeless Sardines 1923,Timeless Sardines,9.0
1008,Timeless Sardines 1924,Timeless Sardines,9.0
1009,Timeless Sardines 1925,Timeless Sardines,9.0
1010,Timeless Sardines 1926,Timeless Sardines,9.0
1011,Timeless Sardines 1927,Timeless Sardines,9.0
1012,Timeless Sardines 1928,Timeless Sardines,9.0
1013,Timeless Sardines 1929,Timeless Sardines,9.0
1014,Timeless Sardines 1930,Timeless Sardines,9.0
1015,Timeless Sardines 1931,Timeless Sardines,9.0
1016,Timeless Sardines 1932,Timeless Sardines,9.0
1017,Timeless Sardines 1933,Timeless Sardines,9.0
1018,Timeless Sardines 1934,Timeless Sardines,9.0
1019,Timeless Sardines 1935,Timeless Sardines,9.0
1020,Timeless Sardines 1936,Timeless Sardines,9.0
1021,Timeless Sardines 1937,Timeless Sardines,9.0
1022,Timeless Sardines 1938,Timeless Sardines,9.0
1023,Timeless Sardines 1939,Timeless Sardines,9.0
1024,Timeless Sardines 1940,Timeless Sardines,9.0
1025,Timeless Sardines 1941,Timeless Sardines,9.0
1026,Timeless Sardines 1942,Timeless Sardines,9.0
1027,Timeless Sardines 1943,Timeless Sardines,9.0
1028,Timeless Sardines 1944,Timeless Sardines,9.0
1029,Timeless Sardines 1945,Timeless Sardines,9.0
1030,Timeless Sardines 1946,Timeless Sardines,9.0
1031,Timeless Sardines 1947,Timeless Sardines,9.0
1032,Timeless Sardines 1948,Timeless Sardines,9.0
1033,Timeless Sardines 1949,Timeless Sardines,9.0
1034,Timeless Sardines 1950,Timeless Sardines,9.0
1035,Timeless Sardines 1951,Timeless Sardines,9.0
1036,Timeless Sardines 1952,Timeless Sardines,9.0
1037,Timeless Sardines 1953,Timeless Sardines,9.0
1038,Timeless Sardines 1954,Timeless Sardines,9.0
1039,Timeless Sardines 1955,Timeless Sardines,9.0
1040,Timeless Sardines 1956,Timeless Sardines,9.0
1041,Timeless Sardines 1957,Timeless Sardines,9.0
1042,Timeless Sardines 1958,Timeless Sardines,9.0
1043,Timeless Sardines 1959,Timeless Sardines,9.0
1044,Timeless Sardines 1960,Timeless Sardines,9.0
1045,Timeless Sardines 1961,Timeless Sardines,9.0
1046,Timeless Sardines 1962,Timeless Sardines,9.0
1047,Timeless Sardines 1963,Timeless Sardines,9.0
1048,Timeless Sardines 1964,Timeless Sardines,9.0
1049,Timeless Sardines 1965,Timeless Sardines,9.0
1050,Timeless Sardines 1966,Timeless Sardines,9.0
1051,Timeless Sardines 1967,Timeless Sardines,9.0
1052,Timeless Sardines 1968,Timeless Sardines,9.0
1053,Timeless Sardines 1969,Timeless Sardines,9.0
1054,Timeless Sardines 1970,Timeless Sardines,9.0
1055,Timeless Sardines 1971,Timeless Sardines,9.0
1056,Timeless Sardines 1972,Timeless Sardines,9.0
1057,Timeless Sardines 1973,Timeless Sardines,9.0
1058,Timeless Sardines 1974,Timeless Sardines,9.0
1059,Timeless Sardines 1975,Timeless Sardines,9.0
1060,Timeless Sardines 1976,Timeless Sardines,9.0
1061,Timeless Sardines 1977,Timeless Sardines,9.0
